constructorResultsId,raceId,constructorId,points,status
consResID1,raceID18,consID1,14,NULL
consResID2,raceID18,consID2,8,NULL
consResID3,raceID18,consID3,9,NULL
consResID4,raceID18,consID4,5,NULL
consResID5,raceID18,consID5,2,NULL
consResID6,raceID18,consID6,1,NULL
consResID7,raceID18,consID7,0,NULL
consResID8,raceID18,consID8,0,NULL
consResID9,raceID18,consID9,0,NULL
consResID10,raceID18,consID10,0,NULL
consResID11,raceID18,consID11,0,NULL
consResID12,raceID19,consID6,10,NULL
consResID13,raceID19,consID2,11,NULL
consResID14,raceID19,consID1,10,NULL
consResID15,raceID19,consID7,5,NULL
consResID16,raceID19,consID9,2,NULL
consResID17,raceID19,consID4,1,NULL
consResID18,raceID19,consID11,0,NULL
consResID19,raceID19,consID10,0,NULL
consResID20,raceID19,consID3,0,NULL
consResID21,raceID19,consID8,0,NULL
consResID22,raceID19,consID5,0,NULL
consResID23,raceID20,consID6,18,NULL
consResID24,raceID20,consID2,11,NULL
consResID25,raceID20,consID1,4,NULL
consResID26,raceID20,consID7,3,NULL
consResID27,raceID20,consID9,2,NULL
consResID28,raceID20,consID3,1,NULL
consResID29,raceID20,consID4,0,NULL
consResID30,raceID20,consID11,0,NULL
consResID31,raceID20,consID10,0,NULL
consResID32,raceID20,consID5,0,NULL
consResID33,raceID20,consID8,0,NULL
consResID34,raceID21,consID6,18,NULL
consResID35,raceID21,consID1,6,NULL
consResID36,raceID21,consID2,5,NULL
consResID37,raceID21,consID9,4,NULL
consResID38,raceID21,consID11,3,NULL
consResID39,raceID21,consID3,2,NULL
consResID40,raceID21,consID7,1,NULL
consResID41,raceID21,consID10,0,NULL
consResID42,raceID21,consID8,0,NULL
consResID43,raceID21,consID4,0,NULL
consResID44,raceID21,consID5,0,NULL
consResID45,raceID22,consID6,16,NULL
consResID46,raceID22,consID1,8,NULL
consResID47,raceID22,consID2,9,NULL
consResID48,raceID22,consID4,3,NULL
consResID49,raceID22,consID9,2,NULL
consResID50,raceID22,consID3,1,NULL
consResID51,raceID22,consID7,0,NULL
consResID52,raceID22,consID11,0,NULL
consResID53,raceID22,consID10,0,NULL
consResID54,raceID22,consID5,0,NULL
consResID55,raceID23,consID1,11,NULL
consResID56,raceID23,consID2,8,NULL
consResID57,raceID23,consID6,6,NULL
consResID58,raceID23,consID9,5,NULL
consResID59,raceID23,consID5,4,NULL
consResID60,raceID23,consID11,3,NULL
consResID61,raceID23,consID3,2,NULL
consResID62,raceID23,consID4,0,NULL
consResID63,raceID23,consID7,0,NULL
consResID64,raceID23,consID10,0,NULL
consResID65,raceID24,consID2,18,NULL
consResID66,raceID24,consID9,6,NULL
consResID67,raceID24,consID7,8,NULL
consResID68,raceID24,consID6,4,NULL
consResID69,raceID24,consID11,2,NULL
consResID70,raceID24,consID5,1,NULL
consResID71,raceID24,consID1,0,NULL
consResID72,raceID24,consID3,0,NULL
consResID73,raceID24,consID10,0,NULL
consResID74,raceID24,consID4,0,NULL
consResID75,raceID25,consID6,18,NULL
consResID76,raceID25,consID7,6,NULL
consResID77,raceID25,consID1,5,NULL
consResID78,raceID25,consID2,4,NULL
consResID79,raceID25,consID9,3,NULL
consResID80,raceID25,consID4,3,NULL
consResID81,raceID25,consID5,0,NULL
consResID82,raceID25,consID11,0,NULL
consResID83,raceID25,consID3,0,NULL
consResID84,raceID25,consID10,0,NULL
consResID85,raceID26,consID1,14,NULL
consResID86,raceID26,consID2,8,NULL
consResID87,raceID26,consID11,6,NULL
consResID88,raceID26,consID6,5,NULL
consResID89,raceID26,consID4,3,NULL
consResID90,raceID26,consID7,2,NULL
consResID91,raceID26,consID3,1,NULL
consResID92,raceID26,consID9,0,NULL
consResID93,raceID26,consID5,0,NULL
consResID94,raceID26,consID10,0,NULL
consResID95,raceID27,consID1,14,NULL
consResID96,raceID27,consID4,8,NULL
consResID97,raceID27,consID6,9,NULL
consResID98,raceID27,consID2,7,NULL
consResID99,raceID27,consID5,1,NULL
consResID100,raceID27,consID7,0,NULL
consResID101,raceID27,consID3,0,NULL
consResID102,raceID27,consID9,0,NULL
consResID103,raceID27,consID10,0,NULL
consResID104,raceID27,consID11,0,NULL
consResID105,raceID28,consID1,14,NULL
consResID106,raceID28,consID7,10,NULL
consResID107,raceID28,consID6,6,NULL
consResID108,raceID28,consID4,8,NULL
consResID109,raceID28,consID2,1,NULL
consResID110,raceID28,consID9,0,NULL
consResID111,raceID28,consID11,0,NULL
consResID112,raceID28,consID3,0,NULL
consResID113,raceID28,consID10,0,NULL
consResID114,raceID28,consID5,0,NULL
consResID115,raceID29,consID6,10,NULL
consResID116,raceID29,consID1,13,NULL
consResID117,raceID29,consID2,6,NULL
consResID118,raceID29,consID7,6,NULL
consResID119,raceID29,consID5,3,NULL
consResID120,raceID29,consID3,1,NULL
consResID121,raceID29,consID4,0,NULL
consResID122,raceID29,consID9,0,NULL
consResID123,raceID29,consID11,0,NULL
consResID124,raceID29,consID10,0,NULL
consResID125,raceID30,consID6,10,NULL
consResID126,raceID30,consID2,11,NULL
consResID127,raceID30,consID1,6,NULL
consResID128,raceID30,consID4,5,NULL
consResID129,raceID30,consID5,6,NULL
consResID130,raceID30,consID9,1,NULL
consResID131,raceID30,consID7,0,NULL
consResID132,raceID30,consID3,0,NULL
consResID133,raceID30,consID10,0,NULL
consResID134,raceID30,consID11,0,NULL
consResID135,raceID31,consID5,10,NULL
consResID136,raceID31,consID1,10,NULL
consResID137,raceID31,consID2,10,NULL
consResID138,raceID31,consID4,5,NULL
consResID139,raceID31,consID6,3,NULL
consResID140,raceID31,consID9,1,NULL
