driverStandingsId,raceId,driverId,points,position,positionText,wins
driverStandID1,raceID18,driverID1,10,1,1,1
driverStandID2,raceID18,driverID2,8,2,2,0
driverStandID3,raceID18,driverID3,6,3,3,0
driverStandID4,raceID18,driverID4,5,4,4,0
driverStandID5,raceID18,driverID5,4,5,5,0
driverStandID6,raceID18,driverID6,3,6,6,0
driverStandID7,raceID18,driverID7,2,7,7,0
driverStandID8,raceID18,driverID8,1,8,8,0
driverStandID9,raceID19,driverID1,14,1,1,1
driverStandID10,raceID19,driverID2,11,3,3,0
driverStandID11,raceID19,driverID3,6,6,6,0
driverStandID12,raceID19,driverID4,6,7,7,0
driverStandID13,raceID19,driverID5,10,4,4,0
driverStandID14,raceID19,driverID6,3,9,9,0
driverStandID15,raceID19,driverID7,2,10,10,0
driverStandID16,raceID19,driverID8,11,2,2,1
driverStandID17,raceID19,driverID9,8,5,5,0
driverStandID18,raceID19,driverID15,5,8,8,0
driverStandID19,raceID19,driverID17,2,11,11,0
driverStandID20,raceID19,driverID14,0,12,12,0
driverStandID21,raceID19,driverID18,0,13,13,0
driverStandID22,raceID19,driverID12,0,14,14,0
driverStandID23,raceID19,driverID21,0,15,15,0
driverStandID24,raceID19,driverID22,0,16,16,0
driverStandID25,raceID19,driverID19,0,17,17,0
driverStandID26,raceID19,driverID11,0,18,18,0
driverStandID27,raceID20,driverID1,14,3,3,1
driverStandID28,raceID20,driverID2,16,2,2,0
driverStandID29,raceID20,driverID3,7,8,8,0
driverStandID30,raceID20,driverID4,6,9,9,0
driverStandID31,raceID20,driverID5,14,5,5,0
driverStandID32,raceID20,driverID6,3,11,11,0
driverStandID33,raceID20,driverID7,2,12,12,0
driverStandID34,raceID20,driverID8,19,1,1,1
driverStandID35,raceID20,driverID9,14,4,4,0
driverStandID36,raceID20,driverID15,8,7,7,0
driverStandID37,raceID20,driverID17,4,10,10,0
driverStandID38,raceID20,driverID14,0,13,13,0
driverStandID39,raceID20,driverID18,0,15,15,0
driverStandID40,raceID20,driverID12,0,17,17,0
driverStandID41,raceID20,driverID21,0,18,18,0
driverStandID42,raceID20,driverID22,0,16,16,0
driverStandID43,raceID20,driverID19,0,19,19,0
driverStandID44,raceID20,driverID11,0,20,20,0
driverStandID45,raceID20,driverID13,10,6,6,1
driverStandID46,raceID20,driverID10,0,14,14,0
driverStandID47,raceID20,driverID16,0,21,21,0
driverStandID48,raceID21,driverID1,20,2,2,1
driverStandID49,raceID21,driverID2,16,5,5,0
driverStandID50,raceID21,driverID3,7,9,9,0
driverStandID51,raceID21,driverID4,6,10,10,0
driverStandID52,raceID21,driverID5,14,6,6,0
driverStandID53,raceID21,driverID6,5,11,11,0
driverStandID54,raceID21,driverID7,2,13,13,0
driverStandID55,raceID21,driverID8,29,1,1,2
driverStandID56,raceID21,driverID9,19,3,3,0
driverStandID57,raceID21,driverID15,9,7,7,0
driverStandID58,raceID21,driverID17,8,8,8,0
driverStandID59,raceID21,driverID14,0,15,15,0
driverStandID60,raceID21,driverID18,3,12,12,0
driverStandID61,raceID21,driverID12,0,18,18,0
driverStandID62,raceID21,driverID21,0,16,16,0
driverStandID63,raceID21,driverID22,0,17,17,0
driverStandID64,raceID21,driverID19,0,20,20,0
driverStandID65,raceID21,driverID11,0,19,19,0
driverStandID66,raceID21,driverID13,18,4,4,1
driverStandID67,raceID21,driverID10,0,14,14,0
driverStandID68,raceID21,driverID16,0,21,21,0
driverStandID69,raceID22,driverID1,28,3,3,1
driverStandID70,raceID22,driverID2,20,5,5,0
driverStandID71,raceID22,driverID3,8,10,10,0
