resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
resultIDresultID1,raceIDraceID18,driverIDdriverID1,consIDconsID1,22,1,1,1,1,10,58,34:50.6,5690616,39,2,01:27.5,218.3,1
resultIDresultID2,raceIDraceID18,driverIDdriverID2,consIDconsID2,3,5,2,2,2,8,58,5.478,5696094,41,3,01:27.7,217.586,1
resultIDresultID3,raceIDraceID18,driverIDdriverID3,consIDconsID3,7,7,3,3,3,6,58,8.163,5698779,41,5,01:28.1,216.719,1
resultIDresultID4,raceIDraceID18,driverIDdriverID4,consIDconsID4,5,11,4,4,4,5,58,17.181,5707797,58,7,01:28.6,215.464,1
resultIDresultID5,raceIDraceID18,driverIDdriverID5,consIDconsID1,23,3,5,5,5,4,58,18.014,5708630,43,1,01:27.4,218.385,1
resultIDresultID6,raceIDraceID18,driverIDdriverID6,consIDconsID3,8,13,6,6,6,3,57,,,50,14,01:29.6,212.974,11
resultIDresultID7,raceIDraceID18,driverIDdriverID7,consIDconsID5,14,17,7,7,7,2,55,,,22,12,01:29.5,213.224,5
resultIDresultID8,raceIDraceID18,driverIDdriverID8,consIDconsID6,1,15,8,8,8,1,53,,,20,4,01:27.9,217.18,5
resultIDresultID9,raceIDraceID18,driverIDdriverID9,consIDconsID2,4,2,,R,9,0,47,,,15,9,01:28.8,215.1,4
resultIDresultID10,raceIDraceID18,driverIDdriverID10,consIDconsID7,12,18,,R,10,0,43,,,23,13,01:29.6,213.166,3
resultIDresultID11,raceIDraceID18,driverIDdriverID11,consIDconsID8,18,19,,R,11,0,32,,,24,15,01:30.9,210.038,7
resultIDresultID12,raceIDraceID18,driverIDdriverID12,consIDconsID4,6,20,,R,12,0,30,,,20,16,01:31.4,208.907,8
resultIDresultID13,raceIDraceID18,driverIDdriverID13,consIDconsID6,2,4,,R,13,0,29,,,23,6,01:28.2,216.51,5
resultIDresultID14,raceIDraceID18,driverIDdriverID14,consIDconsID9,9,8,,R,14,0,25,,,21,11,01:29.5,213.3,4
resultIDresultID15,raceIDraceID18,driverIDdriverID15,consIDconsID7,11,6,,R,15,0,19,,,18,10,01:29.3,213.758,10
resultIDresultID16,raceIDraceID18,driverIDdriverID16,consIDconsID10,20,22,,R,16,0,8,,,8,17,01:32.0,207.461,9
resultIDresultID17,raceIDraceID18,driverIDdriverID17,consIDconsID9,10,14,,R,17,0,0,,,,,,,4
resultIDresultID18,raceIDraceID18,driverIDdriverID18,consIDconsID11,16,12,,R,18,0,0,,,,,,,4
resultIDresultID19,raceIDraceID18,driverIDdriverID19,consIDconsID8,19,21,,R,19,0,0,,,,,,,4
resultIDresultID20,raceIDraceID18,driverIDdriverID20,consIDconsID5,15,9,,R,20,0,0,,,,,,,4
resultIDresultID21,raceIDraceID18,driverIDdriverID21,consIDconsID10,21,16,,R,21,0,0,,,,,,,4
resultIDresultID22,raceIDraceID18,driverIDdriverID22,consIDconsID11,17,10,,D,22,0,58,,,44,8,01:28.7,215.141,2
resultIDresultID23,raceIDraceID19,driverIDdriverID8,consIDconsID6,1,2,1,1,1,10,56,31:18.6,5478555,37,2,01:35.4,209.158,1
resultIDresultID24,raceIDraceID19,driverIDdriverID9,consIDconsID2,4,4,2,2,2,8,56,19.57,5498125,39,6,01:35.9,208.033,1
resultIDresultID25,raceIDraceID19,driverIDdriverID5,consIDconsID1,23,8,3,3,3,6,56,38.45,5517005,19,7,01:35.9,208.031,1
resultIDresultID26,raceIDraceID19,driverIDdriverID15,consIDconsID7,11,3,4,4,4,5,56,45.832,5524387,53,8,01:36.1,207.715,1
resultIDresultID27,raceIDraceID19,driverIDdriverID1,consIDconsID1,22,9,5,5,5,4,56,46.548,5525103,53,3,01:35.5,209.033,1
